pclass,sex=female,age,fare,survived
1,1,29,211.3375,1
1,0,0.9167,151.55,1
1,1,2,151.55,0
1,0,30,151.55,0
1,1,25,151.55,0
1,0,48,26.55,1
1,1,63,77.9583,1
1,0,39,0,0
1,1,53,51.4792,1
1,0,71,49.5042,0
1,0,47,227.525,0
1,1,18,227.525,1
1,1,24,69.3,1
1,1,26,78.85,1
1,0,80,30,1
1,0,?,25.925,0
1,0,24,247.5208,0
1,1,50,247.5208,1
1,1,32,76.2917,1
1,0,36,75.2417,0
1,0,37,52.5542,1
1,1,47,52.5542,1
1,0,26,30,1
1,1,42,227.525,1
1,1,29,221.7792,1
1,0,25,26,0
1,0,25,91.0792,1
1,1,19,91.0792,1
1,1,35,135.6333,1
1,0,28,26.55,1
1,0,45,35.5,0
1,0,40,31,1
1,1,30,164.8667,1
1,1,58,26.55,1
1,0,42,26.55,0
1,1,45,262.375,1
1,1,22,55,1
1,0,?,26.55,1
1,0,41,30.5,0
1,0,48,50.4958,0
1,0,?,39.6,0
1,1,44,27.7208,1
1,1,59,51.4792,1
1,1,60,76.2917,1
1,1,41,134.5,1
1,0,45,26.55,0
1,0,?,31,0
1,0,42,26.2875,1
1,1,53,27.4458,1
1,0,36,512.3292,1
1,1,58,512.3292,1
1,0,33,5,0
1,0,28,47.1,0
1,0,17,47.1,0
1,0,11,120,1
1,1,14,120,1
1,0,36,120,1
1,1,36,120,1
1,0,49,26,0
1,1,?,27.7208,1
1,0,36,78.85,0
1,1,76,78.85,1
1,0,46,61.175,0
1,1,47,61.175,1
1,0,27,53.1,1
1,1,33,53.1,1
1,1,36,262.375,1
1,1,30,86.5,1
1,0,45,29.7,1
1,1,?,55,1
1,0,?,0,0
1,0,27,136.7792,0
1,1,26,136.7792,1
1,1,22,151.55,1
1,0,?,52,0
1,0,47,25.5875,0
1,1,39,83.1583,1
1,0,37,83.1583,0
1,1,64,83.1583,1
1,1,55,25.7,1
1,0,?,26.55,0
1,0,70,71,0
1,1,36,71,1
1,1,64,26.55,1
1,0,39,71.2833,0
1,1,38,71.2833,1
1,0,51,26.55,1
1,0,27,30.5,1
1,1,33,151.55,1
1,0,31,52,0
1,1,27,52,1
1,0,31,57,1
1,1,17,57,1
1,0,53,81.8583,1
1,0,4,81.8583,1
1,1,54,81.8583,1
1,0,50,106.425,0
1,1,27,247.5208,1
1,1,48,106.425,1
1,1,48,39.6,1
1,0,49,56.9292,1
1,0,39,29.7,0
1,1,23,83.1583,1
1,1,38,227.525,1
1,1,54,78.2667,1
1,1,36,31.6792,0
1,0,?,221.7792,0
1,1,?,31.6833,1
1,1,?,110.8833,1
1,0,36,26.3875,1
1,0,30,27.75,0
1,1,24,263,1
1,1,28,263,1
1,1,23,263,1
1,0,19,263,0
1,0,64,263,0
1,1,60,263,1
1,1,30,56.9292,1
1,0,?,26.55,0
1,0,50,133.65,1
1,0,43,27.7208,1
1,1,?,133.65,1
1,1,22,49.5,1
1,0,60,79.2,1
1,1,48,79.2,1
1,0,?,0,0
1,0,37,53.1,0
1,1,35,53.1,1
1,0,47,38.5,0
1,1,35,211.5,1
1,1,22,59.4,1
1,1,45,59.4,1
1,0,24,79.2,0
1,0,49,89.1042,1
1,1,?,89.1042,1
1,0,71,34.6542,0
1,0,53,28.5,1
1,1,19,30,1
1,0,38,153.4625,0
1,1,58,153.4625,1
1,0,23,63.3583,1
1,1,45,63.3583,1
1,0,46,79.2,0
1,0,25,55.4417,1
1,1,25,55.4417,1
1,0,48,76.7292,1
1,1,49,76.7292,1
1,0,?,42.4,0
1,0,45,83.475,0
1,1,35,83.475,1
1,0,40,0,0
1,0,27,76.7292,1
1,0,?,30,1
1,1,24,83.1583,1
1,0,55,93.5,0
1,1,52,93.5,1
1,0,42,42.5,0
1,0,?,51.8625,0
1,0,55,50,0
1,1,16,57.9792,1
1,1,44,57.9792,1
1,1,51,77.9583,1
1,0,42,52,0
1,1,35,52,1
1,0,35,26.55,1
1,0,38,90,1
1,0,?,30.6958,0
1,1,35,90,1
1,1,38,80,1
1,1,50,28.7125,0
1,0,49,0,1
1,0,46,26,0
1,0,50,26,0
1,0,32.5,211.5,0
1,0,58,29.7,0
1,0,41,51.8625,0
1,1,?,51.8625,1
1,0,42,52.5542,1
1,1,45,52.5542,1
1,0,?,26.55,0
1,1,39,211.3375,1
1,1,49,25.9292,1
1,1,30,106.425,1
1,0,35,512.3292,1
1,0,?,27.7208,0
1,0,42,26.55,0
1,1,55,27.7208,1
1,1,16,39.4,1
1,1,51,39.4,1
1,0,29,30,0
1,1,21,77.9583,1
1,0,30,45.5,0
1,1,58,146.5208,1
1,1,15,211.3375,1
1,0,30,26,0
1,1,16,86.5,1
1,0,?,29.7,1
1,0,19,53.1,0
1,1,18,53.1,1
1,1,24,49.5042,1
1,0,46,75.2417,0
1,0,54,51.8625,0
1,0,36,26.2875,1
1,0,28,82.1708,0
1,1,?,82.1708,1
1,0,65,26.55,0
1,0,44,90,0
1,1,33,90,1
1,1,37,90,1
1,0,30,57.75,1
1,0,55,30.5,0
1,0,47,42.4,0
1,0,37,29.7,0
1,1,31,113.275,1
1,1,23,113.275,1
1,0,58,113.275,0
1,1,19,26.2833,1
1,0,64,26,0
1,1,39,108.9,1
1,0,?,25.7417,1
1,1,22,61.9792,1
1,0,65,61.9792,0
1,0,28.5,27.7208,0
1,0,?,0,0
1,0,45.5,28.5,0
1,0,23,93.5,0
1,0,29,66.6,0
1,1,22,66.6,1
1,0,18,108.9,0
1,1,17,108.9,1
