sex,age,sibsp,parch,fare,class,who,adult_male,alive
male,22,1,0,7.25,Third,man,TRUE,no
female,38,1,0,71.2833,First,woman,FALSE,yes
female,26,0,0,7.925,Third,woman,FALSE,yes
female,35,1,0,53.1,First,woman,FALSE,yes
male,35,0,0,8.05,Third,man,TRUE,no
male,29,0,0,8.4583,Third,man,TRUE,no
male,54,0,0,51.8625,First,man,TRUE,no
male,2,3,1,21.075,Third,child,FALSE,no
female,27,0,2,11.1333,Third,woman,FALSE,yes
female,14,1,0,30.0708,Second,child,FALSE,yes
female,4,1,1,16.7,Third,child,FALSE,yes
female,58,0,0,26.55,First,woman,FALSE,yes
male,20,0,0,8.05,Third,man,TRUE,no
male,39,1,5,31.275,Third,man,TRUE,no
female,14,0,0,7.8542,Third,child,FALSE,no
female,55,0,0,16,Second,woman,FALSE,yes
male,2,4,1,29.125,Third,child,FALSE,no
male,29,0,0,13,Second,man,TRUE,yes
female,31,1,0,18,Third,woman,FALSE,no
female,29,0,0,7.225,Third,woman,FALSE,yes
male,35,0,0,26,Second,man,TRUE,no
male,34,0,0,13,Second,man,TRUE,yes
female,15,0,0,8.0292,Third,child,FALSE,yes
male,28,0,0,35.5,First,man,TRUE,yes
female,8,3,1,21.075,Third,child,FALSE,no
female,38,1,5,31.3875,Third,woman,FALSE,yes
male,29,0,0,7.225,Third,man,TRUE,no
male,19,3,2,263,First,man,TRUE,no
female,29,0,0,7.8792,Third,woman,FALSE,yes
male,29,0,0,7.8958,Third,man,TRUE,no
male,40,0,0,27.7208,First,man,TRUE,no
female,29,1,0,146.5208,First,woman,FALSE,yes
female,29,0,0,7.75,Third,woman,FALSE,yes
male,66,0,0,10.5,Second,man,TRUE,no
male,28,1,0,82.1708,First,man,TRUE,no
male,42,1,0,52,First,man,TRUE,no
male,29,0,0,7.2292,Third,man,TRUE,yes
male,21,0,0,8.05,Third,man,TRUE,no
female,18,2,0,18,Third,woman,FALSE,no
female,14,1,0,11.2417,Third,child,FALSE,yes
female,40,1,0,9.475,Third,woman,FALSE,no
female,27,1,0,21,Second,woman,FALSE,no
male,29,0,0,7.8958,Third,man,TRUE,no
female,3,1,2,41.5792,Second,child,FALSE,yes
female,19,0,0,7.8792,Third,woman,FALSE,yes
male,29,0,0,8.05,Third,man,TRUE,no
male,29,1,0,15.5,Third,man,TRUE,no
female,29,0,0,7.75,Third,woman,FALSE,yes
male,29,2,0,21.6792,Third,man,TRUE,no
female,18,1,0,17.8,Third,woman,FALSE,no
male,7,4,1,39.6875,Third,child,FALSE,no
male,21,0,0,7.8,Third,man,TRUE,no
female,49,1,0,76.7292,First,woman,FALSE,yes
female,29,1,0,26,Second,woman,FALSE,yes
male,65,0,1,61.9792,First,man,TRUE,no
male,29,0,0,35.5,First,man,TRUE,yes
female,21,0,0,10.5,Second,woman,FALSE,yes
male,28.5,0,0,7.2292,Third,man,TRUE,no
female,5,1,2,27.75,Second,child,FALSE,yes
male,11,5,2,46.9,Third,child,FALSE,no
male,22,0,0,7.2292,Third,man,TRUE,no
female,38,0,0,80,First,woman,FALSE,yes
male,45,1,0,83.475,First,man,TRUE,no
male,4,3,2,27.9,Third,child,FALSE,no
male,29,0,0,27.7208,First,man,TRUE,no
male,29,1,1,15.2458,Third,man,TRUE,yes
female,29,0,0,10.5,Second,woman,FALSE,yes
male,19,0,0,8.1583,Third,man,TRUE,no
female,17,4,2,7.925,Third,woman,FALSE,yes
male,26,2,0,8.6625,Third,man,TRUE,no
male,32,0,0,10.5,Second,man,TRUE,no
female,16,5,2,46.9,Third,woman,FALSE,no
male,21,0,0,73.5,Second,man,TRUE,no
male,26,1,0,14.4542,Third,man,TRUE,no
male,32,0,0,56.4958,Third,man,TRUE,yes
male,25,0,0,7.65,Third,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,0.83,0,2,29,Second,child,FALSE,yes
female,30,0,0,12.475,Third,woman,FALSE,yes
male,22,0,0,9,Third,man,TRUE,no
male,29,0,0,9.5,Third,man,TRUE,yes
female,29,0,0,7.7875,Third,woman,FALSE,yes
male,28,0,0,47.1,First,man,TRUE,no
female,17,0,0,10.5,Second,woman,FALSE,yes
female,33,3,0,15.85,Third,woman,FALSE,yes
male,16,1,3,34.375,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
female,23,3,2,263,First,woman,FALSE,yes
male,24,0,0,8.05,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,20,0,0,7.8542,Third,man,TRUE,no
male,46,1,0,61.175,First,man,TRUE,no
male,26,1,2,20.575,Third,man,TRUE,no
male,59,0,0,7.25,Third,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,71,0,0,34.6542,First,man,TRUE,no
male,23,0,1,63.3583,First,man,TRUE,yes
female,34,0,1,23,Second,woman,FALSE,yes
male,34,1,0,26,Second,man,TRUE,no
female,28,0,0,7.8958,Third,woman,FALSE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,21,0,1,77.2875,First,man,TRUE,no
male,33,0,0,8.6542,Third,man,TRUE,no
male,37,2,0,7.925,Third,man,TRUE,no
male,28,0,0,7.8958,Third,man,TRUE,no
female,21,0,0,7.65,Third,woman,FALSE,yes
male,29,0,0,7.775,Third,man,TRUE,yes
male,38,0,0,7.8958,Third,man,TRUE,no
female,29,1,0,24.15,Third,woman,FALSE,yes
male,47,0,0,52,First,man,TRUE,no
female,14.5,1,0,14.4542,Third,child,FALSE,no
male,22,0,0,8.05,Third,man,TRUE,no
female,20,1,0,9.825,Third,woman,FALSE,no
female,17,0,0,14.4583,Third,woman,FALSE,no
male,21,0,0,7.925,Third,man,TRUE,no
male,70.5,0,0,7.75,Third,man,TRUE,no
male,29,1,0,21,Second,man,TRUE,no
male,24,0,1,247.5208,First,man,TRUE,no
female,2,4,2,31.275,Third,child,FALSE,no
male,21,2,0,73.5,Second,man,TRUE,no
male,29,0,0,8.05,Third,man,TRUE,no
male,32.5,1,0,30.0708,Second,man,TRUE,no
female,32.5,0,0,13,Second,woman,FALSE,yes
male,54,0,1,77.2875,First,man,TRUE,no
male,12,1,0,11.2417,Third,child,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,24,0,0,7.1417,Third,man,TRUE,yes
female,29,1,1,22.3583,Third,woman,FALSE,yes
male,45,0,0,6.975,Third,man,TRUE,no
male,33,0,0,7.8958,Third,man,TRUE,no
male,20,0,0,7.05,Third,man,TRUE,no
female,47,1,0,14.5,Third,woman,FALSE,no
female,29,1,0,26,Second,woman,FALSE,yes
male,25,0,0,13,Second,man,TRUE,no
male,23,0,0,15.0458,Second,man,TRUE,no
female,19,0,2,26.2833,First,woman,FALSE,yes
male,37,1,0,53.1,First,man,TRUE,no
male,16,0,0,9.2167,Third,man,TRUE,no
male,24,0,0,79.2,First,man,TRUE,no
female,29,0,2,15.2458,Third,woman,FALSE,no
female,22,0,0,7.75,Third,woman,FALSE,yes
female,24,1,0,15.85,Third,woman,FALSE,yes
male,19,0,0,6.75,Third,man,TRUE,no
male,18,0,0,11.5,Second,man,TRUE,no
male,19,1,1,36.75,Second,man,TRUE,no
male,27,0,0,7.7958,Third,man,TRUE,yes
female,9,2,2,34.375,Third,child,FALSE,no
male,36.5,0,2,26,Second,man,TRUE,no
male,42,0,0,13,Second,man,TRUE,no
male,51,0,0,12.525,Second,man,TRUE,no
female,22,1,0,66.6,First,woman,FALSE,yes
male,55.5,0,0,8.05,Third,man,TRUE,no
male,40.5,0,2,14.5,Third,man,TRUE,no
male,29,0,0,7.3125,Third,man,TRUE,no
male,51,0,1,61.3792,First,man,TRUE,no
female,16,0,0,7.7333,Third,woman,FALSE,yes
male,30,0,0,8.05,Third,man,TRUE,no
male,29,0,0,8.6625,Third,man,TRUE,no
male,29,8,2,69.55,Third,man,TRUE,no
male,44,0,1,16.1,Third,man,TRUE,no
female,40,0,0,15.75,Second,woman,FALSE,yes
male,26,0,0,7.775,Third,man,TRUE,no
male,17,0,0,8.6625,Third,man,TRUE,no
male,1,4,1,39.6875,Third,child,FALSE,no
male,9,0,2,20.525,Third,child,FALSE,yes
female,29,0,1,55,First,woman,FALSE,yes
female,45,1,4,27.9,Third,woman,FALSE,no
male,29,0,0,25.925,First,man,TRUE,no
male,28,0,0,56.4958,Third,man,TRUE,no
male,61,0,0,33.5,First,man,TRUE,no
male,4,4,1,29.125,Third,child,FALSE,no
female,1,1,1,11.1333,Third,child,FALSE,yes
male,21,0,0,7.925,Third,man,TRUE,no
male,56,0,0,30.6958,First,man,TRUE,no
male,18,1,1,7.8542,Third,man,TRUE,no
male,29,3,1,25.4667,Third,man,TRUE,no
female,50,0,0,28.7125,First,woman,FALSE,no
male,30,0,0,13,Second,man,TRUE,no
male,36,0,0,0,Third,man,TRUE,no
female,29,8,2,69.55,Third,woman,FALSE,no
male,29,0,0,15.05,Second,man,TRUE,no
male,9,4,2,31.3875,Third,child,FALSE,no
male,1,2,1,39,Second,child,FALSE,yes
female,4,0,2,22.025,Third,child,FALSE,yes
male,29,0,0,50,First,man,TRUE,no
female,29,1,0,15.5,Third,woman,FALSE,yes
male,45,0,0,26.55,First,man,TRUE,yes
male,40,1,1,15.5,Third,man,TRUE,no
male,36,0,0,7.8958,Third,man,TRUE,no
female,32,0,0,13,Second,woman,FALSE,yes
male,19,0,0,13,Second,man,TRUE,no
female,19,1,0,7.8542,Third,woman,FALSE,yes
male,3,1,1,26,Second,child,FALSE,yes
female,44,0,0,27.7208,First,woman,FALSE,yes
female,58,0,0,146.5208,First,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,42,0,1,8.4042,Third,man,TRUE,no
female,29,0,0,7.75,Third,woman,FALSE,yes
female,24,0,0,13,Second,woman,FALSE,no
male,28,0,0,9.5,Third,man,TRUE,no
male,29,8,2,69.55,Third,man,TRUE,no
male,34,0,0,6.4958,Third,man,TRUE,no
male,45.5,0,0,7.225,Third,man,TRUE,no
male,18,0,0,8.05,Third,man,TRUE,yes
female,2,0,1,10.4625,Third,child,FALSE,no
male,32,1,0,15.85,Third,man,TRUE,no
male,26,0,0,18.7875,Third,man,TRUE,yes
female,16,0,0,7.75,Third,woman,FALSE,yes
male,40,0,0,31,First,man,TRUE,yes
male,24,0,0,7.05,Third,man,TRUE,no
female,35,0,0,21,Second,woman,FALSE,yes
male,22,0,0,7.25,Third,man,TRUE,no
male,30,0,0,13,Second,man,TRUE,no
male,29,1,0,7.75,Third,man,TRUE,no
female,31,1,0,113.275,First,woman,FALSE,yes
female,27,0,0,7.925,Third,woman,FALSE,yes
male,42,1,0,27,Second,man,TRUE,no
female,32,0,0,76.2917,First,woman,FALSE,yes
male,30,0,0,10.5,Second,man,TRUE,no
male,16,0,0,8.05,Third,man,TRUE,yes
male,27,0,0,13,Second,man,TRUE,no
male,51,0,0,8.05,Third,man,TRUE,no
male,29,0,0,7.8958,Third,man,TRUE,no
male,38,1,0,90,First,man,TRUE,yes
male,22,0,0,9.35,Third,man,TRUE,no
male,19,0,0,10.5,Second,man,TRUE,yes
male,20.5,0,0,7.25,Third,man,TRUE,no
male,18,0,0,13,Second,man,TRUE,no
female,29,3,1,25.4667,Third,woman,FALSE,no
female,35,1,0,83.475,First,woman,FALSE,yes
male,29,0,0,7.775,Third,man,TRUE,no
male,59,0,0,13.5,Second,man,TRUE,no
female,5,4,2,31.3875,Third,child,FALSE,yes
male,24,0,0,10.5,Second,man,TRUE,no
female,29,0,0,7.55,Third,woman,FALSE,no
male,44,1,0,26,Second,man,TRUE,no
female,8,0,2,26.25,Second,child,FALSE,yes
male,19,0,0,10.5,Second,man,TRUE,no
male,33,0,0,12.275,Second,man,TRUE,no
female,29,1,0,14.4542,Third,woman,FALSE,no
female,29,1,0,15.5,Third,woman,FALSE,yes
male,29,0,0,10.5,Second,man,TRUE,no
male,22,0,0,7.125,Third,man,TRUE,no
male,30,0,0,7.225,Third,man,TRUE,no
male,44,2,0,90,First,man,TRUE,no
female,25,0,0,7.775,Third,woman,FALSE,no
female,24,0,2,14.5,Second,woman,FALSE,yes
male,37,1,1,52.5542,First,man,TRUE,yes
male,54,1,0,26,Second,man,TRUE,no
male,29,0,0,7.25,Third,man,TRUE,no
female,29,1,1,10.4625,Third,woman,FALSE,no
male,62,0,0,26.55,First,man,TRUE,no
male,30,1,0,16.1,Third,man,TRUE,no
female,41,0,2,20.2125,Third,woman,FALSE,no
female,29,0,2,15.2458,Third,woman,FALSE,yes
female,29,0,0,79.2,First,woman,FALSE,yes
female,30,0,0,86.5,First,woman,FALSE,yes
female,35,0,0,512.3292,First,woman,FALSE,yes
female,50,0,1,26,Second,woman,FALSE,yes
male,29,0,0,7.75,Third,man,TRUE,no
male,3,4,2,31.3875,Third,child,FALSE,yes
male,52,1,1,79.65,First,man,TRUE,no
male,40,0,0,0,First,man,TRUE,no
female,29,0,0,7.75,Third,woman,FALSE,no
male,36,0,0,10.5,Second,man,TRUE,no
male,16,4,1,39.6875,Third,man,TRUE,no
male,25,1,0,7.775,Third,man,TRUE,yes
female,58,0,1,153.4625,First,woman,FALSE,yes
female,35,0,0,135.6333,First,woman,FALSE,yes
male,29,0,0,31,First,man,TRUE,no
male,25,0,0,0,Third,man,TRUE,yes
female,41,0,1,19.5,Second,woman,FALSE,yes
male,37,0,1,29.7,First,man,TRUE,no
female,29,0,0,7.75,Third,woman,FALSE,yes
female,63,1,0,77.9583,First,woman,FALSE,yes
female,45,0,0,7.75,Third,woman,FALSE,no
male,29,0,0,0,Second,man,TRUE,no
male,7,4,1,29.125,Third,child,FALSE,no
female,35,1,1,20.25,Third,woman,FALSE,yes
male,65,0,0,7.75,Third,man,TRUE,no
male,28,0,0,7.8542,Third,man,TRUE,no
male,16,0,0,9.5,Third,man,TRUE,no
male,19,0,0,8.05,Third,man,TRUE,yes
male,29,0,0,26,First,man,TRUE,no
male,33,0,0,8.6625,Third,man,TRUE,no
male,30,0,0,9.5,Third,man,TRUE,yes
male,22,0,0,7.8958,Third,man,TRUE,no
male,42,0,0,13,Second,man,TRUE,yes
female,22,0,0,7.75,Third,woman,FALSE,yes
female,26,0,0,78.85,First,woman,FALSE,yes
female,19,1,0,91.0792,First,woman,FALSE,yes
male,36,0,0,12.875,Second,man,TRUE,no
female,24,0,0,8.85,Third,woman,FALSE,no
male,24,0,0,7.8958,Third,man,TRUE,no
male,29,0,0,27.7208,First,man,TRUE,no
male,23.5,0,0,7.2292,Third,man,TRUE,no
female,2,1,2,151.55,First,child,FALSE,no
male,29,0,0,30.5,First,man,TRUE,yes
female,50,0,1,247.5208,First,woman,FALSE,yes
female,29,0,0,7.75,Third,woman,FALSE,yes
male,29,2,0,23.25,Third,man,TRUE,yes
male,19,0,0,0,Third,man,TRUE,no
female,29,0,0,12.35,Second,woman,FALSE,yes
male,29,0,0,8.05,Third,man,TRUE,no
male,0.92,1,2,151.55,First,child,FALSE,yes
female,29,0,0,110.8833,First,woman,FALSE,yes
female,17,1,0,108.9,First,woman,FALSE,yes
male,30,1,0,24,Second,man,TRUE,no
female,30,0,0,56.9292,First,woman,FALSE,yes
female,24,0,0,83.1583,First,woman,FALSE,yes
female,18,2,2,262.375,First,woman,FALSE,yes
female,26,1,1,26,Second,woman,FALSE,no
male,28,0,0,7.8958,Third,man,TRUE,no
male,43,1,1,26.25,Second,man,TRUE,no
female,26,0,0,7.8542,Third,woman,FALSE,yes
female,24,1,0,26,Second,woman,FALSE,yes
male,54,0,0,14,Second,man,TRUE,no
female,31,0,2,164.8667,First,woman,FALSE,yes
female,40,1,1,134.5,First,woman,FALSE,yes
male,22,0,0,7.25,Third,man,TRUE,no
male,27,0,0,7.8958,Third,man,TRUE,no
female,30,0,0,12.35,Second,woman,FALSE,yes
female,22,1,1,29,Second,woman,FALSE,yes
male,29,8,2,69.55,Third,man,TRUE,no
female,36,0,0,135.6333,First,woman,FALSE,yes
