@relation speed_melt

@attribute 법인 {'C 대리점','S 대리점','I 대리점','I 영업소','G 대리점','G 영업소','M 대리점','M 영업소','B 대리점','R 대리점','R 영업소','B 영업소','S 영업소'}
@attribute '전용선 속도' {10M,45M,8M,4M}
@attribute RANK numeric
@attribute 평균속도 numeric
@attribute variable {'포털 메인 화면','메일 메인 화면','메일 메뉴폴더 화면','메일 검색 화면','메일 파일첨부 화면','승인 화면','승인 대상 폴더 화면','승인 검색 화면','거부 화면','승인정보 화면','승인선택 화면','승인부서 화면','승인 목록 화면','승인 경로 화면','승인 대상 입력 화면',A_로딩화면,'A_QNA 등록 화면','A_전체 관리상태 (재고)','A_전체 관리상태','A_전체 관리지표','A_전체 도매상 상태','A_메인 화면','B_로그인 화면','B_메인 화면','B_도매입고 상태 화면','B_도매재고 상태 화면','B_도매입고 목록 화면','B_도매입고 불량 화면',B_게시판}
@attribute value numeric

@data
'C 대리점',10M,8,4.6,'포털 메인 화면',14
'C 대리점',10M,8,4.6,'메일 메인 화면',8
'C 대리점',10M,8,4.6,'메일 메뉴폴더 화면',2
'C 대리점',10M,8,4.6,'메일 검색 화면',1
'C 대리점',10M,8,4.6,'메일 파일첨부 화면',2
'C 대리점',10M,8,4.6,'승인 화면',13
'C 대리점',10M,8,4.6,'승인 대상 폴더 화면',5
'C 대리점',10M,8,4.6,'승인 검색 화면',1
'C 대리점',10M,8,4.6,'거부 화면',10
'C 대리점',10M,8,4.6,'승인정보 화면',2
'C 대리점',10M,8,4.6,'승인선택 화면',2
'C 대리점',10M,8,4.6,'승인부서 화면',2
'C 대리점',10M,8,4.6,'승인 목록 화면',2
'C 대리점',10M,8,4.6,'승인 경로 화면',4
'C 대리점',10M,8,4.6,'승인 대상 입력 화면',1
'C 대리점',10M,8,4.6,'B_로그인 화면',2
'C 대리점',10M,8,4.6,'B_메인 화면',25
'C 대리점',10M,8,4.6,'B_도매입고 상태 화면',1.56
'C 대리점',10M,8,4.6,'B_도매재고 상태 화면',1.53
'C 대리점',10M,8,4.6,'B_도매입고 목록 화면',31
'C 대리점',10M,8,4.6,'B_도매입고 불량 화면',4
'S 대리점',10M,9,4.633333,'포털 메인 화면',10
'S 대리점',10M,9,4.633333,'메일 메인 화면',13
'S 대리점',10M,9,4.633333,'메일 메뉴폴더 화면',1.5
'S 대리점',10M,9,4.633333,'메일 검색 화면',1
'S 대리점',10M,9,4.633333,'메일 파일첨부 화면',2
'S 대리점',10M,9,4.633333,'승인 화면',12
'S 대리점',10M,9,4.633333,'승인 대상 폴더 화면',3
'S 대리점',10M,9,4.633333,'승인 검색 화면',1
'S 대리점',10M,9,4.633333,'거부 화면',13
