@relation InstanceResultListener

@attribute Key_Dataset {mnist.meta.minimal}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.EdgeHistogramFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.EdgeHistogramFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-F ‚"weka.filters.AllFilter ‚" -S 1 -W weka.classifiers.functions.Dl4jMlpClassifier -- -S 1 -cache-mode MEMORY -early-stopping ‚"weka.dl4j.earlystopping.EarlyStopping -maxEpochsNoImprovement 0 -valPercentage 0.0‚" -normalization ‚"Standardize training data‚" -iterator ‚"weka.dl4j.iterators.instance.ImageInstanceIterator -height 28 -imagesLocation D:‚‚‚‚Weka-3-9‚‚‚‚data‚‚‚‚image‚‚‚‚Mnist -numChannels 1 -width 28 -bs 1‚" -iteration-listener ‚"weka.dl4j.listener.EpochListener -eval true -n 5‚" -layer ‚"weka.dl4j.layers.ConvolutionLayer -nFilters 8 -mode Truncate -cudnnAlgoMode PREFER_FASTEST -rows 3 -columns 3 -paddingColumns 0 -paddingRows 0 -strideColumns 1 -strideRows 1 -nOut 8 -activation ‚‚‚"weka.dl4j.activations.ActivationLReLU -alpha 0.01‚‚‚" -name ‚‚‚"Convolution layer 1‚‚‚"‚" -layer ‚"weka.dl4j.layers.SubsamplingLayer -mode Truncate -eps 1.0E-8 -rows 2 -columns 2 -paddingColumns 0 -paddingRows 0 -pnorm 1 -poolingType MAX -strideColumns 1 -strideRows 1 -name ‚‚‚"Subsampling layer 1‚‚‚"‚" -layer ‚"weka.dl4j.layers.ConvolutionLayer -nFilters 8 -mode Truncate -cudnnAlgoMode PREFER_FASTEST -rows 3 -columns 3 -paddingColumns 0 -paddingRows 0 -strideColumns 1 -strideRows 1 -nOut 8 -activation ‚‚‚"weka.dl4j.activations.ActivationLReLU -alpha 0.01‚‚‚" -name ‚‚‚"Convolution layer 2‚‚‚"‚" -layer ‚"weka.dl4j.layers.SubsamplingLayer -mode Truncate -eps 1.0E-8 -rows 2 -columns 2 -paddingColumns 0 -paddingRows 0 -pnorm 1 -poolingType MAX -strideColumns 1 -strideRows 1 -name ‚‚‚"Subsampling layer 2‚‚‚"‚" -layer ‚"weka.dl4j.layers.OutputLayer -lossFn ‚‚‚"weka.dl4j.lossfunctions.LossMCXENT ‚‚‚" -nOut 0 -activation ‚‚‚"weka.dl4j.activations.ActivationSoftmax ‚‚‚" -name ‚‚‚"Output layer 2‚‚‚"‚" -logConfig ‚"weka.core.LogConfiguration -append true -dl4jLogLevel WARN -logFile C:‚‚‚‚Users‚‚‚‚bulle‚‚‚‚wekafiles‚‚‚‚wekaDeeplearning4j.log -nd4jLogLevel INFO -wekaDl4jLogLevel INFO‚" -config ‚"weka.dl4j.NeuralNetConfiguration -biasInit 0.0 -biasUpdater ‚‚‚"weka.dl4j.updater.Sgd -lr 0.001 -lrSchedule ‚‚‚‚‚‚‚"weka.dl4j.schedules.ConstantSchedule -scheduleType EPOCH‚‚‚‚‚‚‚"‚‚‚" -dist ‚‚‚"weka.dl4j.distribution.Disabled ‚‚‚" -dropout ‚‚‚"weka.dl4j.dropout.Disabled ‚‚‚" -gradientNormalization None -gradNormThreshold 1.0 -l1 NaN -l2 NaN -minimize -algorithm STOCHASTIC_GRADIENT_DESCENT -updater ‚‚‚"weka.dl4j.updater.Adam -beta1MeanDecay 0.9 -beta2VarDecay 0.999 -epsilon 1.0E-8 -lr 0.001 -lrSchedule ‚‚‚‚‚‚‚"weka.dl4j.schedules.ConstantSchedule -scheduleType EPOCH‚‚‚‚‚‚‚"‚‚‚" -weightInit XAVIER -weightNoise ‚‚‚"weka.dl4j.weightnoise.Disabled ‚‚‚"‚" -numEpochs 10 -queueSize 0 -zooModel ‚"weka.dl4j.zoo.CustomNet ‚"'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
mnist.meta.minimal,1,1,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,24,18,0,57.142857,42.857143,0,0.523929,0.086655,0.265489,48.152877,88.502644,139.473841,13978.319801,-13838.84596,3.320806,332.817138,-329.496332,80.772272,1.923149,57.91213,0.5,2,0.078947,3,0.921053,35,0.5,2,0.4,0.5,0.444444,0.381656,0.717105,0.380952,0.571429,0.047283,0.952717,0.428571,0.577041,0.571429,0.556603,0.51953,0.809928,0.509354,0.562251,0.571429,1.904,0.297,0.15625,0,156.25,0,67342,32078,16958,66.666667,16.428571,?
mnist.meta.minimal,1,2,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,28,14,0,66.666667,33.333333,0,0.629723,0.074882,0.246557,41.60791,82.184734,139.522041,11826.649673,-11687.127632,3.321953,281.586897,-278.264944,89.19246,2.12363,63.927147,1,4,0.026316,1,0.973684,37,0,0,0.8,1,0.888889,0.88258,1,1,0.666667,0.037221,0.962779,0.333333,0.674206,0.666667,0.654951,0.626605,0.839582,0.612226,0.659921,0.666667,0.227,0.035,0.15625,0.015625,156.25,15.625,67342,32078,16958,73.809524,16.190476,?
mnist.meta.minimal,1,3,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,25,17,0,59.52381,40.47619,0,0.550661,0.084301,0.270285,46.850961,90.114393,139.407876,13975.82408,-13836.416204,3.319235,332.757716,-329.438481,81.198887,1.933307,58.245552,0.5,2,0.078947,3,0.921053,35,0.5,2,0.4,0.5,0.444444,0.381656,0.657895,0.297619,0.595238,0.043318,0.956682,0.404762,0.689286,0.595238,0.615857,0.58811,0.804113,0.538322,0.611233,0.595238,0.269,0.033,0.109375,0.03125,109.375,31.25,66658,32078,16958,69.047619,16.190476,?
mnist.meta.minimal,1,4,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,28,14,0,66.666667,33.333333,0,0.628083,0.075741,0.243975,42.094045,81.34235,139.407876,10755.645448,-10616.237572,3.319235,256.086796,-252.767561,89.241354,2.124794,64.014571,0.5,2,0.026316,1,0.973684,37,0.5,2,0.666667,0.5,0.571429,0.539906,0.963816,0.608333,0.666667,0.038644,0.961356,0.333333,?,0.666667,?,?,0.835831,0.554176,?,0.666667,0.175,0.02,0.125,0,125,0,63922,32078,16958,76.190476,19.285714,?
mnist.meta.minimal,1,5,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,24,18,0,57.142857,42.857143,0,0.522727,0.090448,0.281481,50.257155,93.825805,139.531752,12916.69374,-12777.161988,3.322185,307.540327,-304.218143,75.360549,1.794299,54.009606,1,4,0.078947,3,0.921053,35,0,0,0.571429,1,0.727273,0.725476,0.960526,0.571429,0.571429,0.047246,0.952754,0.428571,0.622449,0.571429,0.564275,0.536468,0.800633,0.548814,0.550823,0.571429,0.177,0.035,0.078125,0.015625,78.125,15.625,63238,32078,16958,69.047619,17.142857,?
mnist.meta.minimal,1,6,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,24,18,0,57.142857,42.857143,0,0.523329,0.08966,0.268572,49.819519,89.522967,139.531752,11838.275867,-11698.744115,3.322185,281.863711,-278.541527,80.502007,1.916714,57.6944,1,4,0.026316,1,0.973684,37,0,0,0.8,1,0.888889,0.88258,1,1,0.571429,0.047246,0.952754,0.428571,0.6286,0.571429,0.562715,0.53863,0.821302,0.523866,0.557334,0.571429,0.179,0.039,0.09375,0,93.75,0,66658,32078,16958,73.809524,17.380952,?
mnist.meta.minimal,1,7,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,22,20,0,52.380952,47.619048,0,0.469697,0.101629,0.286441,56.473787,95.486272,139.48928,15058.676184,-14919.186904,3.321173,358.539909,-355.218736,69.924422,1.664867,50.128886,0.5,2,0,0,1,38,0.5,2,1,0.5,0.666667,0.689202,0.75,0.547619,0.52381,0.055104,0.944896,0.47619,0.547619,0.52381,0.493888,0.467357,0.767002,0.428968,0.495368,0.52381,0.168,0.019,0.09375,0,93.75,0,69394,32078,16958,64.285714,17.142857,?
mnist.meta.minimal,1,8,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,24,18,0,57.142857,42.857143,0,0.524229,0.08573,0.262087,47.63896,87.367724,139.48928,11837.491371,-11698.002091,3.321173,281.845033,-278.523859,81.516624,1.940872,58.439347,0.5,2,0.052632,2,0.947368,36,0.5,2,0.5,0.5,0.5,0.447368,0.825658,0.52381,0.571429,0.046535,0.953465,0.428571,0.587302,0.571429,0.538885,0.514649,0.823368,0.533617,0.539315,0.571429,0.153,0.02,0.046875,0,46.875,0,68026,32078,16958,69.047619,18.809524,?
mnist.meta.minimal,1,9,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,26,16,0,61.904762,38.095238,0,0.577889,0.083741,0.258717,46.539677,86.257496,139.407876,12904.845235,-12765.437359,3.319235,307.25822,-303.938985,82.83049,1.972155,59.415933,0,0,0.026316,1,0.973684,37,1,4,0,0,0,-0.050669,0.631579,0.15873,0.619048,0.0401,0.9599,0.380952,0.653515,0.619048,0.584544,0.573705,0.813732,0.515939,0.586688,0.619048,0.101,0.033,0.046875,0.015625,46.875,15.625,64606,32078,16958,71.428571,17.380952,?
mnist.meta.minimal,1,10,weka.classifiers.meta.FilteredClassifier,'-F ‚"weka.filters.MultiFilter -F ‚‚‚"weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter -D D:‚‚‚‚‚‚‚‚Weka-3-9‚‚‚‚‚‚‚‚data‚‚‚‚‚‚‚‚image‚‚‚‚‚‚‚‚Mnist‚‚‚" -F ‚‚‚"weka.filters.unsupervised.attribute.Remove -R 1‚‚‚"‚" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-4523450618538717400,20200518.1034,378,42,24,18,0,57.142857,42.857143,0,0.523329,0.095602,0.284518,53.113805,94.824582,139.597717,17195.204058,-17055.606341,3.323755,409.40962,-406.085865,73.56035,1.751437,52.694522,0.6,3,0.054054,2,0.945946,35,0.4,2,0.6,0.6,0.6,0.545946,0.862162,0.57381,0.571429,0.047319,0.952681,0.428571,0.603968,0.571429,0.560929,0.529395,0.75891,0.44966,0.554387,0.571429,0.11,0.015,0.078125,0.015625,78.125,15.625,68710,32078,16958,61.904762,17.142857,?
