일자,경과일,진척율
2020-02-20,0,0.02 
2020-02-21,1,0.02 
2020-02-22,2,0.02 
2020-02-23,3,0.05 
2020-02-24,4,0.05 
2020-02-25,5,0.05 
2020-02-26,6,0.08 
2020-02-27,7,0.08 
2020-02-28,8,0.08 
2020-02-29,9,0.08 
2020-03-01,10,0.08 
2020-03-02,11,0.08 
2020-03-03,12,0.12 
2020-03-04,13,0.12 
2020-03-05,14,0.12 
2020-03-06,15,0.15 
2020-03-07,16,0.15 
2020-03-08,17,0.15 
2020-03-09,18,0.15 
2020-03-10,19,0.15 
2020-03-11,20,0.15 
2020-03-12,21,0.18 
2020-03-13,22,0.18 
2020-03-14,23,0.18 
2020-03-15,24,0.18 
2020-03-16,25,0.21 
2020-03-17,26,0.21 
2020-03-18,27,0.21 
2020-03-19,28,0.25 
2020-03-20,29,0.25 
2020-03-21,30,0.25 
2020-03-22,31,0.25 
2020-03-23,32,0.30 
2020-03-24,33,0.30 
2020-03-25,34,0.30 
2020-03-26,35,0.35 
2020-03-27,36,0.35 
2020-03-28,37,0.35 
2020-03-29,38,0.35 
2020-03-30,39,0.41 
2020-03-31,40,0.41 
2020-04-01,41,0.41 
2020-04-02,42,0.41 
2020-04-03,43,0.45 
2020-04-04,44,0.45 
2020-04-05,45,0.45 
2020-04-06,46,0.45 
2020-04-07,47,0.45 
2020-04-08,48,0.45 
2020-04-09,49,0.51 
2020-04-10,50,0.51 
2020-04-11,51,0.51 
2020-04-12,52,0.57 
2020-04-13,53,0.57 
2020-04-14,54,0.57 
2020-04-15,55,0.57 
