company,lan_speed,RANK,speedMean,variable,value
C.dealer,X10M,8,4.6,A,14
S.dealer,X10M,9,4.633333,A,10
I.dealer,X10M,3,2.412667,A,1.5
I.agency,X10M,4,2.456667,A,2.37
G.dealer,X45M,10,5.333333,A,11
G.agency,X8M,12,8.071429,A,12
M.dealer,X4M,6,2.866667,A,5
M.agency,X10M,5,2.666667,A,4
B.dealer,X10M,13,9.851333,A,31.21
R.dealer,X10M,1,2.049778,A,3.563333
R.agency,X4M,7,3.725333,A,3.14
B.agency,X8M,2,2.401333,A,1.95
S.agency,X4M,11,6.993333,A,4.62
C.dealer,X10M,8,4.6,B,8
S.dealer,X10M,9,4.633333,B,13
I.dealer,X10M,3,2.412667,B,8.1
I.agency,X10M,4,2.456667,B,9.26
G.dealer,X45M,10,5.333333,B,10
G.agency,X8M,12,8.071429,B,8
M.dealer,X4M,6,2.866667,B,4
M.agency,X10M,5,2.666667,B,3
B.dealer,X10M,13,9.851333,B,15.83
R.dealer,X10M,1,2.049778,B,2.446667
R.agency,X4M,7,3.725333,B,4.58
B.agency,X8M,2,2.401333,B,2.61
S.agency,X4M,11,6.993333,B,3.41
C.dealer,X10M,8,4.6,C,2
S.dealer,X10M,9,4.633333,C,1.5
I.dealer,X10M,3,2.412667,C,1.5
I.agency,X10M,4,2.456667,C,1.1
G.dealer,X45M,10,5.333333,C,3
G.agency,X8M,12,8.071429,C,3
M.dealer,X4M,6,2.866667,C,1
M.agency,X10M,5,2.666667,C,1
B.dealer,X10M,13,9.851333,C,1.85
R.dealer,X10M,1,2.049778,C,0.526667
R.agency,X4M,7,3.725333,C,3.25
B.agency,X8M,2,2.401333,C,2.31
S.agency,X4M,11,6.993333,C,4.37
C.dealer,X10M,8,4.6,D,1
S.dealer,X10M,9,4.633333,D,1
I.dealer,X10M,3,2.412667,D,1
I.agency,X10M,4,2.456667,D,1
G.dealer,X45M,10,5.333333,D,1
G.agency,X8M,12,8.071429,D,3
M.dealer,X4M,6,2.866667,D,1
M.agency,X10M,5,2.666667,D,1
B.dealer,X10M,13,9.851333,D,2.14
R.dealer,X10M,1,2.049778,D,0.533333
R.agency,X4M,7,3.725333,D,3.25
B.agency,X8M,2,2.401333,D,0.5
