@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:구조,0:사망-weka.filters.unsupervised.attribute.Remove-R10,13-14-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.StringToNominal-R2,7-weka.filters.unsupervised.attribute.Remove-R2-3,5-7,9'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 나이 numeric
@attribute 요금 numeric
@attribute 구명정번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 구조여부 {사망,구조}

@data
1등급,29,211.3375,2,구조
1등급,0.9167,151.55,11,구조
1등급,2,151.55,?,사망
1등급,30,151.55,?,사망
1등급,25,151.55,?,사망
1등급,48,26.55,3,구조
1등급,63,77.9583,10,구조
1등급,39,0,?,사망
1등급,53,51.4792,D,구조
1등급,71,49.5042,?,사망
1등급,47,227.525,?,사망
1등급,18,227.525,4,구조
1등급,24,69.3,9,구조
1등급,26,78.85,6,구조
1등급,80,30,B,구조
1등급,?,25.925,?,사망
1등급,24,247.5208,?,사망
1등급,50,247.5208,6,구조
1등급,32,76.2917,8,구조
1등급,36,75.2417,A,사망
1등급,37,52.5542,5,구조
1등급,47,52.5542,5,구조
1등급,26,30,5,구조
1등급,42,227.525,4,구조
1등급,29,221.7792,8,구조
1등급,25,26,?,사망
1등급,25,91.0792,7,구조
1등급,19,91.0792,7,구조
1등급,35,135.6333,8,구조
1등급,28,26.55,D,구조
1등급,45,35.5,?,사망
1등급,40,31,7,구조
1등급,30,164.8667,8,구조
1등급,58,26.55,8,구조
1등급,42,26.55,?,사망
1등급,45,262.375,4,구조
1등급,22,55,6,구조
1등급,?,26.55,9,구조
1등급,41,30.5,?,사망
1등급,48,50.4958,?,사망
1등급,?,39.6,?,사망
1등급,44,27.7208,6,구조
1등급,59,51.4792,D,구조
1등급,60,76.2917,8,구조
1등급,41,134.5,3,구조
1등급,45,26.55,?,사망
1등급,?,31,?,사망
1등급,42,26.2875,5,구조
1등급,53,27.4458,6,구조
1등급,36,512.3292,3,구조
1등급,58,512.3292,3,구조
1등급,33,5,?,사망
1등급,28,47.1,?,사망
1등급,17,47.1,?,사망
1등급,11,120,4,구조
1등급,14,120,4,구조
1등급,36,120,C,구조
1등급,36,120,4,구조
1등급,49,26,?,사망
1등급,?,27.7208,5,구조
1등급,36,78.85,?,사망
1등급,76,78.85,6,구조
1등급,46,61.175,?,사망
1등급,47,61.175,4,구조
1등급,27,53.1,5,구조
1등급,33,53.1,5,구조
1등급,36,262.375,4,구조
1등급,30,86.5,8,구조
1등급,45,29.7,7,구조
1등급,?,55,6,구조
1등급,?,0,?,사망
1등급,27,136.7792,?,사망
1등급,26,136.7792,4,구조
1등급,22,151.55,11,구조
1등급,?,52,?,사망
1등급,47,25.5875,?,사망
1등급,39,83.1583,14,구조
1등급,37,83.1583,?,사망
1등급,64,83.1583,14,구조
1등급,55,25.7,2,구조
1등급,?,26.55,?,사망
1등급,70,71,?,사망
1등급,36,71,7,구조
1등급,64,26.55,7,구조
1등급,39,71.2833,?,사망
1등급,38,71.2833,4,구조
1등급,51,26.55,'5 9',구조
1등급,27,30.5,3,구조
1등급,33,151.55,8,구조
1등급,31,52,?,사망
1등급,27,52,3,구조
1등급,31,57,3,구조
1등급,17,57,3,구조
1등급,53,81.8583,13,구조
1등급,4,81.8583,5,구조
1등급,54,81.8583,5,구조
1등급,50,106.425,?,사망
1등급,27,247.5208,6,구조
1등급,48,106.425,2,구조
1등급,48,39.6,1,구조
1등급,49,56.9292,1,구조
1등급,39,29.7,?,사망
1등급,23,83.1583,7,구조
1등급,38,227.525,4,구조
1등급,54,78.2667,4,구조
1등급,36,31.6792,?,사망
1등급,?,221.7792,?,사망
1등급,?,31.6833,7,구조
1등급,?,110.8833,4,구조
1등급,36,26.3875,5,구조
1등급,30,27.75,?,사망
1등급,24,263,10,구조
1등급,28,263,10,구조
1등급,23,263,10,구조
1등급,19,263,?,사망
1등급,64,263,?,사망
1등급,60,263,10,구조
1등급,30,56.9292,1,구조
1등급,?,26.55,?,사망
1등급,50,133.65,5,구조
1등급,43,27.7208,5,구조
1등급,?,133.65,5,구조
1등급,22,49.5,5,구조
1등급,60,79.2,5,구조
1등급,48,79.2,5,구조
1등급,?,0,?,사망
1등급,37,53.1,?,사망
1등급,35,53.1,D,구조
1등급,47,38.5,?,사망
1등급,35,211.5,4,구조
1등급,22,59.4,7,구조
1등급,45,59.4,7,구조
1등급,24,79.2,?,사망
1등급,49,89.1042,5,구조
1등급,?,89.1042,5,구조
1등급,71,34.6542,?,사망
1등급,53,28.5,B,구조
1등급,19,30,3,구조
1등급,38,153.4625,?,사망
1등급,58,153.4625,3,구조
1등급,23,63.3583,7,구조
1등급,45,63.3583,7,구조
1등급,46,79.2,?,사망
1등급,25,55.4417,5,구조
1등급,25,55.4417,5,구조
1등급,48,76.7292,3,구조
1등급,49,76.7292,3,구조
1등급,?,42.4,?,사망
1등급,45,83.475,?,사망
1등급,35,83.475,D,구조
1등급,40,0,?,사망
1등급,27,76.7292,3,구조
1등급,?,30,3,구조
1등급,24,83.1583,7,구조
1등급,55,93.5,?,사망
1등급,52,93.5,3,구조
1등급,42,42.5,?,사망
1등급,?,51.8625,?,사망
1등급,55,50,?,사망
1등급,16,57.9792,4,구조
1등급,44,57.9792,4,구조
1등급,51,77.9583,10,구조
1등급,42,52,?,사망
1등급,35,52,8,구조
1등급,35,26.55,15,구조
1등급,38,90,D,구조
1등급,?,30.6958,14,사망
1등급,35,90,D,구조
1등급,38,80,6,구조
1등급,50,28.7125,?,사망
1등급,49,0,C,구조
1등급,46,26,?,사망
1등급,50,26,?,사망
1등급,32.5,211.5,?,사망
1등급,58,29.7,?,사망
1등급,41,51.8625,?,사망
1등급,?,51.8625,8,구조
1등급,42,52.5542,5,구조
1등급,45,52.5542,5,구조
1등급,?,26.55,?,사망
1등급,39,211.3375,2,구조
1등급,49,25.9292,8,구조
1등급,30,106.425,2,구조
1등급,35,512.3292,3,구조
1등급,?,27.7208,?,사망
1등급,42,26.55,?,사망
1등급,55,27.7208,6,구조
1등급,16,39.4,9,구조
1등급,51,39.4,9,구조
1등급,29,30,?,사망
1등급,21,77.9583,10,구조
1등급,30,45.5,?,사망
1등급,58,146.5208,?,구조
1등급,15,211.3375,2,구조
1등급,30,26,?,사망
1등급,16,86.5,8,구조
1등급,?,29.7,7,구조
1등급,19,53.1,?,사망
1등급,18,53.1,10,구조
1등급,24,49.5042,6,구조
1등급,46,75.2417,?,사망
1등급,54,51.8625,?,사망
1등급,36,26.2875,7,구조
1등급,28,82.1708,?,사망
1등급,?,82.1708,6,구조
1등급,65,26.55,?,사망
1등급,44,90,?,사망
1등급,33,90,14,구조
1등급,37,90,14,구조
1등급,30,57.75,11,구조
1등급,55,30.5,?,사망
1등급,47,42.4,?,사망
1등급,37,29.7,?,사망
1등급,31,113.275,6,구조
1등급,23,113.275,6,구조
1등급,58,113.275,?,사망
1등급,19,26.2833,5,구조
1등급,64,26,?,사망
1등급,39,108.9,8,구조
1등급,?,25.7417,7,구조
1등급,22,61.9792,5,구조
1등급,65,61.9792,?,사망
1등급,28.5,27.7208,?,사망
1등급,?,0,?,사망
1등급,45.5,28.5,?,사망
1등급,23,93.5,?,사망
1등급,29,66.6,?,사망
1등급,22,66.6,8,구조
1등급,18,108.9,?,사망
1등급,17,108.9,8,구조
1등급,30,93.5,3,구조
1등급,52,30.5,6,구조
1등급,47,52,?,사망
1등급,56,83.1583,7,구조
1등급,38,0,?,사망
1등급,?,39.6,A,구조
1등급,22,135.6333,?,사망
1등급,?,227.525,?,사망
1등급,43,211.3375,2,구조
1등급,31,50.4958,?,사망
1등급,45,26.55,9,구조
1등급,?,50,?,사망
1등급,33,27.7208,11,구조
1등급,46,79.2,?,사망
1등급,36,40.125,?,사망
1등급,33,86.5,8,구조
1등급,55,59.4,?,사망
1등급,54,59.4,6,구조
1등급,33,26.55,?,사망
1등급,13,262.375,4,구조
1등급,18,262.375,4,구조
1등급,21,262.375,4,구조
1등급,61,262.375,?,사망
1등급,48,262.375,4,구조
1등급,?,30.5,3,구조
1등급,24,69.3,9,구조
1등급,?,26,1,구조
1등급,35,57.75,11,구조
1등급,30,31,4,구조
1등급,34,26.55,7,구조
1등급,40,153.4625,3,구조
1등급,35,26.2875,5,구조
1등급,50,55.9,?,사망
1등급,39,55.9,11,구조
1등급,56,35.5,3,구조
1등급,28,35.5,7,구조
1등급,56,26.55,?,사망
1등급,56,30.6958,?,사망
1등급,24,60,?,사망
1등급,?,26,?,사망
1등급,18,60,6,구조
1등급,24,82.2667,7,구조
1등급,23,82.2667,7,구조
1등급,6,134.5,3,구조
1등급,45,134.5,3,구조
1등급,40,134.5,3,구조
1등급,57,146.5208,?,사망
1등급,?,146.5208,6,구조
1등급,32,30.5,3,구조
1등급,62,26.55,?,사망
1등급,54,55.4417,1,구조
1등급,43,55.4417,5,구조
1등급,52,78.2667,4,구조
1등급,?,27.7208,?,사망
1등급,62,80,6,구조
1등급,67,221.7792,?,사망
1등급,63,221.7792,?,사망
1등급,61,32.3208,?,사망
1등급,48,25.9292,8,구조
1등급,18,79.65,8,구조
1등급,52,79.65,?,사망
1등급,39,79.65,8,구조
1등급,48,52,'5 7',구조
1등급,?,52,'5 7',구조
1등급,49,110.8833,?,사망
1등급,17,110.8833,B,구조
1등급,39,110.8833,4,구조
1등급,?,79.2,D,구조
1등급,31,28.5375,7,구조
1등급,40,27.7208,?,사망
1등급,61,33.5,?,사망
1등급,47,34.0208,?,사망
1등급,35,512.3292,3,구조
1등급,64,75.25,?,사망
1등급,60,75.25,5,구조
1등급,60,26.55,?,사망
1등급,54,77.2875,?,사망
1등급,21,77.2875,?,사망
1등급,55,135.6333,8,구조
1등급,31,164.8667,8,구조
1등급,57,164.8667,?,사망
1등급,45,164.8667,8,구조
1등급,50,211.5,?,사망
1등급,27,211.5,?,사망
1등급,50,211.5,4,구조
1등급,21,26.55,'8 10',구조
1등급,51,61.3792,?,사망
1등급,21,61.3792,A,구조
1등급,?,35,?,사망
1등급,31,134.5,3,구조
1등급,?,35.5,D,구조
1등급,62,26.55,?,사망
1등급,36,135.6333,8,구조
2등급,30,24,?,사망
