@relation 'd-weka.filters.unsupervised.attribute.StringToNominal-R12,14-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.RenameAttribute-find([굚s굚S]+)-replace객실등급-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:1등급,2:2등급,3:3등급-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:구조,0:사망-weka.filters.unsupervised.attribute.Remove-R10,13-14-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.StringToNominal-R2,7-weka.filters.unsupervised.attribute.Remove-R2,7'

@attribute 객실등급 {1등급,2등급,3등급}
@attribute 성별 {female,male}
@attribute 나이 numeric
@attribute 동승_배우자_형제수 numeric
@attribute 동승_부모_자녀수 numeric
@attribute 요금 numeric
@attribute 탑승위치 {C,Q,S}
@attribute 구명정번호 {2,11,3,10,D,4,9,6,B,8,A,5,7,C,14,'5 9',13,1,15,'5 7','8 10',12,16,'13 15 B','C D','15 16','13 15'}
@attribute 구조여부 {사망,구조}

@data
1등급,female,29,0,0,211.3375,S,2,구조
1등급,male,0.9167,1,2,151.55,S,11,구조
1등급,female,2,1,2,151.55,S,?,사망
1등급,male,30,1,2,151.55,S,?,사망
1등급,female,25,1,2,151.55,S,?,사망
1등급,male,48,0,0,26.55,S,3,구조
1등급,female,63,1,0,77.9583,S,10,구조
1등급,male,39,0,0,0,S,?,사망
1등급,female,53,2,0,51.4792,S,D,구조
1등급,male,71,0,0,49.5042,C,?,사망
1등급,male,47,1,0,227.525,C,?,사망
1등급,female,18,1,0,227.525,C,4,구조
1등급,female,24,0,0,69.3,C,9,구조
1등급,female,26,0,0,78.85,S,6,구조
1등급,male,80,0,0,30,S,B,구조
1등급,male,?,0,0,25.925,S,?,사망
1등급,male,24,0,1,247.5208,C,?,사망
1등급,female,50,0,1,247.5208,C,6,구조
1등급,female,32,0,0,76.2917,C,8,구조
1등급,male,36,0,0,75.2417,C,A,사망
1등급,male,37,1,1,52.5542,S,5,구조
1등급,female,47,1,1,52.5542,S,5,구조
1등급,male,26,0,0,30,C,5,구조
1등급,female,42,0,0,227.525,C,4,구조
1등급,female,29,0,0,221.7792,S,8,구조
1등급,male,25,0,0,26,C,?,사망
1등급,male,25,1,0,91.0792,C,7,구조
1등급,female,19,1,0,91.0792,C,7,구조
1등급,female,35,0,0,135.6333,S,8,구조
1등급,male,28,0,0,26.55,S,D,구조
1등급,male,45,0,0,35.5,S,?,사망
1등급,male,40,0,0,31,C,7,구조
1등급,female,30,0,0,164.8667,S,8,구조
1등급,female,58,0,0,26.55,S,8,구조
1등급,male,42,0,0,26.55,S,?,사망
1등급,female,45,0,0,262.375,C,4,구조
1등급,female,22,0,1,55,S,6,구조
1등급,male,?,0,0,26.55,S,9,구조
1등급,male,41,0,0,30.5,S,?,사망
1등급,male,48,0,0,50.4958,C,?,사망
1등급,male,?,0,0,39.6,C,?,사망
1등급,female,44,0,0,27.7208,C,6,구조
1등급,female,59,2,0,51.4792,S,D,구조
1등급,female,60,0,0,76.2917,C,8,구조
1등급,female,41,0,0,134.5,C,3,구조
1등급,male,45,0,0,26.55,S,?,사망
1등급,male,?,0,0,31,S,?,사망
1등급,male,42,0,0,26.2875,S,5,구조
