pclass,survived,sex=female,age
1,1,1,29
1,1,0,0.9167
1,0,1,2
1,0,0,30
1,0,1,25
1,1,0,48
1,1,1,63
1,0,0,39
1,1,1,53
1,0,0,71
1,0,0,47
1,1,1,18
1,1,1,24
1,1,1,26
1,1,0,80
1,0,0,29
1,0,0,24
1,1,1,50
1,1,1,32
1,0,0,36
1,1,0,37
1,1,1,47
1,1,0,26
1,1,1,42
1,1,1,29
1,0,0,25
1,1,0,25
1,1,1,19
1,1,1,35
1,1,0,28
1,0,0,45
1,1,0,40
1,1,1,30
1,1,1,58
1,0,0,42
1,1,1,45
1,1,1,22
1,1,0,29
1,0,0,41
1,0,0,48
1,0,0,29
1,1,1,44
1,1,1,59
1,1,1,60
1,1,1,41
1,0,0,45
1,0,0,29
1,1,0,42
1,1,1,53
1,1,0,36
1,1,1,58
1,0,0,33
1,0,0,28
1,0,0,17
1,1,0,11
1,1,1,14
1,1,0,36
1,1,1,36
1,0,0,49
1,1,1,29
1,0,0,36
1,1,1,76
1,0,0,46
1,1,1,47
1,1,0,27
1,1,1,33
1,1,1,36
1,1,1,30
1,1,0,45
1,1,1,29
1,0,0,29
1,0,0,27
1,1,1,26
1,1,1,22
1,0,0,29
1,0,0,47
1,1,1,39
1,0,0,37
1,1,1,64
1,1,1,55
1,0,0,29
1,0,0,70
1,1,1,36
1,1,1,64
1,0,0,39
1,1,1,38
1,1,0,51
1,1,0,27
1,1,1,33
1,0,0,31
1,1,1,27
1,1,0,31
1,1,1,17
1,1,0,53
1,1,0,4
1,1,1,54
1,0,0,50
1,1,1,27
1,1,1,48
1,1,1,48
1,1,0,49
1,0,0,39
1,1,1,23
1,1,1,38
1,1,1,54
1,0,1,36
1,0,0,29
1,1,1,29
1,1,1,29
1,1,0,36
1,0,0,30
1,1,1,24
1,1,1,28
1,1,1,23
1,0,0,19
1,0,0,64
1,1,1,60
1,1,1,30
1,0,0,29
1,1,0,50
1,1,0,43
1,1,1,29
1,1,1,22
1,1,0,60
1,1,1,48
1,0,0,29
1,0,0,37
1,1,1,35
1,0,0,47
1,1,1,35
1,1,1,22
1,1,1,45
1,0,0,24
1,1,0,49
1,1,1,29
1,0,0,71
1,1,0,53
1,1,1,19
