@relation titanic-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.AllFilter-S1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.supervised.attribute.NominalToBinary-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute class=Third numeric
@attribute class=First numeric
@attribute class=Second numeric
@attribute alive {no,yes}

@data
0,22,1,7.25,1,0,0,no
1,38,1,71.2833,0,1,0,yes
1,26,0,7.925,1,0,0,yes
1,35,1,53.1,0,1,0,yes
0,35,0,8.05,1,0,0,no
0,?,0,8.4583,1,0,0,no
0,54,0,51.8625,0,1,0,no
0,2,3,21.075,1,0,0,no
1,27,0,11.1333,1,0,0,yes
1,14,1,30.0708,0,0,1,yes
1,4,1,16.7,1,0,0,yes
1,58,0,26.55,0,1,0,yes
0,20,0,8.05,1,0,0,no
0,39,1,31.275,1,0,0,no
1,14,0,7.8542,1,0,0,no
1,55,0,16,0,0,1,yes
0,2,4,29.125,1,0,0,no
0,?,0,13,0,0,1,yes
1,31,1,18,1,0,0,no
1,?,0,7.225,1,0,0,yes
0,35,0,26,0,0,1,no
0,34,0,13,0,0,1,yes
1,15,0,8.0292,1,0,0,yes
0,28,0,35.5,0,1,0,yes
1,8,3,21.075,1,0,0,no
1,38,1,31.3875,1,0,0,yes
0,?,0,7.225,1,0,0,no
0,19,3,263,0,1,0,no
1,?,0,7.8792,1,0,0,yes
0,?,0,7.8958,1,0,0,no
0,40,0,27.7208,0,1,0,no
1,?,1,146.5208,0,1,0,yes
1,?,0,7.75,1,0,0,yes
0,66,0,10.5,0,0,1,no
0,28,1,82.1708,0,1,0,no
0,42,1,52,0,1,0,no
0,?,0,7.2292,1,0,0,yes
0,21,0,8.05,1,0,0,no
1,18,2,18,1,0,0,no
1,14,1,11.2417,1,0,0,yes
1,40,1,9.475,1,0,0,no
1,27,1,21,0,0,1,no
0,?,0,7.8958,1,0,0,no
1,3,1,41.5792,0,0,1,yes
1,19,0,7.8792,1,0,0,yes
0,?,0,8.05,1,0,0,no
0,?,1,15.5,1,0,0,no
1,?,0,7.75,1,0,0,yes
